first_name,last_name,email,phone,Invalid Date
Jayde,Beahan,beahan.jayde@gmail.com,1-542-555-5812,Tue Jan 06 2004
Freddy,Lakin,freddy.lakin@gmail.com,1-406-555-1825,Tue Feb 16 1999
Percival,Huels,percival_huels@hotmail.com,1-340-555-4058,Sat Jun 10 1989
Verna,Osinski,verna.osinski@yahoo.com,1-603-555-5147,Wed May 19 1976
Arielle,Schulist,a_schulist@yahoo.com,1-419-555-7961,Mon Jul 25 1983
Everette,Christiansen,everette.christiansen@yahoo.com,1-196-555-8572,Sun Sep 19 1954
Esteban,Rolfson,e_rolfson@gmail.com,1-084-555-3157,Wed May 22 1991
Gaylord,Ebert,g_ebert@yahoo.com,1-347-555-1482,Sat May 26 1990
Shanelle,Jacobi,jacobi.shanelle@yahoo.com,1-906-555-0328,Thu Feb 10 1983
Eddie,Sanford,sanford.eddie@hotmail.com,1-419-555-8106,Sun Jun 09 1974
Jose,Heathcote,j_heathcote@hotmail.com,1-479-555-5781,Tue Jan 23 2001
Derrick,Ernser,derrick@hotmail.com,1-431-555-8502,Thu Jul 30 1964
Elda,Jast,jast_elda@gmail.com,1-746-555-4517,Fri Jan 22 1971
Lottie,Cormier,l_cormier@gmail.com,1-276-555-1769,Wed Aug 16 1989
Raleigh,Cruickshank,raleigh.cruickshank@yahoo.com,1-643-555-5278,Sat Oct 02 1999
Greg,Smith,greg@hotmail.com,1-841-555-0734,Sat Oct 10 1964
Ozella,Welch,o.welch@hotmail.com,1-670-555-4951,Thu Jun 22 2000
Fleta,McCullough,mccullough_fleta@gmail.com,1-371-555-0325,Sat Oct 14 1961
Warren,Ryan,warren.ryan@gmail.com,1-310-555-5730,Mon Feb 04 1957
Freddie,Spencer,freddie_spencer@gmail.com,1-203-555-4860,Sat Aug 26 1989
Felipa,Treutel,treutel.felipa@yahoo.com,1-419-555-3657,Sun Jul 18 1954
Agustina,Metz,agustina.metz@gmail.com,1-419-555-3289,Mon Jul 09 1990
Ed,Rice,ed_rice@gmail.com,1-602-555-6307,Thu Apr 29 1982
Thalia,Buckridge,buckridge.thalia@gmail.com,1-308-555-4061,Sat Sep 12 1987
Elyse,Smith,elyse@gmail.com,1-517-555-7921,Sat Jan 19 1963
Beryl,Hansen,hansen.beryl@hotmail.com,1-537-555-3028,Mon Dec 16 1985
Ewell,Oberbrunner,e.oberbrunner@hotmail.com,1-617-555-5803,Sun Feb 15 2004
Clarissa,Smith,clarissa@yahoo.com,1-162-555-0981,Fri Sep 06 1968
Diamond,Pfeffer,diamond@gmail.com,1-029-555-3761,Sat Sep 07 2002
Chanel,Reynolds,chanel_reynolds@hotmail.com,1-902-555-7062,Wed Jan 02 1985
Antwon,Heller,heller.antwon@hotmail.com,1-419-555-4276,Wed Nov 26 1986
Rosella,Smith,rosella@yahoo.com,1-780-555-0384,Fri Jan 09 1987
Mose,Maggio,mose@yahoo.com,1-419-555-0748,Tue Apr 15 1952
Gust,Franecki,g.franecki@yahoo.com,1-569-555-7196,Wed Dec 18 1985
Devon,Bosco,bosco_devon@hotmail.com,1-512-555-4580,Sat Dec 24 1988
Milan,Conner,milan@hotmail.com,1-961-555-8103,Sun Nov 20 1983
